serial,date,year,year_n,month,team,team_,status,home_score,away_score,home_result,away_result,result_desc,tournament,city,country,result,size,decade,random,home_team,home_team_,away_team,away_team_
451,04/12/1984,1984,4,12,Saudi Arabia,Saudi_Arabia,away_team,0,1,-1,1,winner,AFC Asian Cup,Kallang,Singapore,1,1,4,0.325485143,Syria,Syria,Saudi Arabia,Saudi_Arabia
350,09/04/1979,1979,9,4,Bahrain,Bahrain,home_team,0,2,-2,2,loser,Gulf Cup,Baghdad,Iraq,-2,2,3,0.038574434,Bahrain,Bahrain,Kuwait,Kuwait
350,09/04/1979,1979,9,4,Kuwait,Kuwait,away_team,0,2,-2,2,winner,Gulf Cup,Baghdad,Iraq,2,2,3,0.491605413,Bahrain,Bahrain,Kuwait,Kuwait
351,09/04/1979,1979,9,4,Oman,Oman,home_team,0,4,-4,4,loser,Gulf Cup,Baghdad,Iraq,-4,4,3,0.554355678,Oman,Oman,UAE,UAE
452,08/12/1984,1984,4,12,Saudi Arabia,Saudi_Arabia,away_team,1,1,0,0,draw,AFC Asian Cup,Kallang,Singapore,0,0,4,0.919846289,Qatar,Qatar,Saudi Arabia,Saudi_Arabia
352,03/09/1979,1979,9,9,Libya,Libya,home_team,0,0,0,0,draw,Friendly,Tripoli,Libya,0,0,3,0.216505061,Libya,Libya,Palestine,Palestine
352,03/09/1979,1979,9,9,Palestine,Palestine,away_team,0,0,0,0,draw,Friendly,Tripoli,Libya,0,0,3,0.476914838,Libya,Libya,Palestine,Palestine
353,27/02/1980,1980,0,2,Morocco,Morocco,home_team,0,0,0,0,draw,Friendly,Meknès,Morocco,0,0,4,0.882237803,Morocco,Morocco,Tunisia,Tunisia
353,27/02/1980,1980,0,2,Tunisia,Tunisia,away_team,0,0,0,0,draw,Friendly,Meknès,Morocco,0,0,4,0.165826016,Morocco,Morocco,Tunisia,Tunisia
354,13/03/1980,1980,0,3,Algeria,Algeria,home_team,1,0,1,-1,winner,African Cup of Nations,Ibadan,Nigeria,1,1,4,0.956800923,Algeria,Algeria,Morocco,Morocco
354,13/03/1980,1980,0,3,Morocco,Morocco,away_team,1,0,1,-1,loser,African Cup of Nations,Ibadan,Nigeria,-1,1,4,0.248599071,Algeria,Algeria,Morocco,Morocco
355,19/03/1980,1980,0,3,Algeria,Algeria,home_team,2,2,0,0,draw,African Cup of Nations,Ibadan,Nigeria,0,0,4,0.642442697,Algeria,Algeria,Egypt,Egypt
355,19/03/1980,1980,0,3,Egypt,Egypt,away_team,2,2,0,0,draw,African Cup of Nations,Ibadan,Nigeria,0,0,4,0.338868449,Algeria,Algeria,Egypt,Egypt
356,21/03/1980,1980,0,3,Egypt,Egypt,home_team,0,2,-2,2,loser,African Cup of Nations,Lagos,Nigeria,-2,2,4,0.96364943,Egypt,Egypt,Morocco,Morocco
356,21/03/1980,1980,0,3,Morocco,Morocco,away_team,0,2,-2,2,winner,African Cup of Nations,Lagos,Nigeria,2,2,4,0.986107809,Egypt,Egypt,Morocco,Morocco
357,08/06/1980,1980,0,6,Tunisia,Tunisia,home_team,0,1,-1,1,loser,Friendly,Tunis,Tunisia,-1,1,4,0.377498021,Tunisia,Tunisia,Morocco,Morocco
357,08/06/1980,1980,0,6,Morocco,Morocco,away_team,0,1,-1,1,winner,Friendly,Tunis,Tunisia,1,1,4,0.480090151,Tunisia,Tunisia,Morocco,Morocco
358,15/09/1980,1980,0,9,Kuwait,Kuwait,home_team,1,1,0,0,draw,AFC Asian Cup,Kuwait City,Kuwait,0,0,4,0.657384499,Kuwait,Kuwait,UAE,UAE
454,11/12/1984,1984,4,12,Saudi Arabia,Saudi_Arabia,home_team,1,0,1,-1,winner,AFC Asian Cup,Kallang,Singapore,1,1,4,0.652055351,Saudi Arabia,Saudi_Arabia,Kuwait,Kuwait
359,17/09/1980,1980,0,9,Qatar,Qatar,home_team,2,1,1,-1,winner,AFC Asian Cup,Kuwait City,Kuwait,1,1,4,0.856344372,Qatar,Qatar,UAE,UAE
479,12/04/1985,1985,5,4,Saudi Arabia,Saudi_Arabia,home_team,0,0,0,0,draw,FIFA World Cup qualification,Riyadh,Saudi Arabia,0,0,4,0.554501603,Saudi Arabia,Saudi_Arabia,UAE,UAE
360,25/09/1980,1980,0,9,Kuwait,Kuwait,home_team,4,0,4,-4,winner,AFC Asian Cup,Kuwait City,Kuwait,4,4,4,0.068527239,Kuwait,Kuwait,Qatar,Qatar
360,25/09/1980,1980,0,9,Qatar,Qatar,away_team,4,0,4,-4,loser,AFC Asian Cup,Kuwait City,Kuwait,-4,4,4,0.380225494,Kuwait,Kuwait,Qatar,Qatar
361,04/10/1980,1980,0,10,Libya,Libya,home_team,2,0,2,-2,winner,Friendly,Izmir,Turkey,2,2,4,0.157053249,Libya,Libya,Saudi Arabia,Saudi_Arabia
483,19/04/1985,1985,5,4,Saudi Arabia,Saudi_Arabia,away_team,1,0,1,-1,loser,FIFA World Cup qualification,Dubai,United Arab Emirates,-1,1,4,0.130759661,UAE,UAE,Saudi Arabia,Saudi_Arabia
362,20/11/1980,1980,0,11,Sudan,Sudan,home_team,2,0,2,-2,winner,CECAFA Cup,Khartoum,Sudan,2,2,4,0.832290954,Sudan,Sudan,Somalia,Somalia
362,20/11/1980,1980,0,11,Somalia,Somalia,away_team,2,0,2,-2,loser,CECAFA Cup,Khartoum,Sudan,-2,2,4,0.019682866,Sudan,Sudan,Somalia,Somalia
363,12/12/1980,1980,0,12,Algeria,Algeria,home_team,2,0,2,-2,winner,FIFA World Cup qualification,Constantine,Algeria,2,2,4,0.626381321,Algeria,Algeria,Sudan,Sudan
363,12/12/1980,1980,0,12,Sudan,Sudan,away_team,2,0,2,-2,loser,FIFA World Cup qualification,Constantine,Algeria,-2,2,4,0.042627902,Algeria,Algeria,Sudan,Sudan
364,28/12/1980,1980,0,12,Sudan,Sudan,home_team,1,1,0,0,draw,FIFA World Cup qualification,Khartoum,Sudan,0,0,4,0.926470513,Sudan,Sudan,Algeria,Algeria
364,28/12/1980,1980,0,12,Algeria,Algeria,away_team,1,1,0,0,draw,FIFA World Cup qualification,Khartoum,Sudan,0,0,4,0.208139586,Sudan,Sudan,Algeria,Algeria
365,11/01/1981,1981,1,1,Tunisia,Tunisia,home_team,4,0,4,-4,winner,Friendly,Tunis,Tunisia,4,4,4,0.283244458,Tunisia,Tunisia,Qatar,Qatar
365,11/01/1981,1981,1,1,Qatar,Qatar,away_team,4,0,4,-4,loser,Friendly,Tunis,Tunisia,-4,4,4,0.030094694,Tunisia,Tunisia,Qatar,Qatar
366,06/02/1981,1981,1,2,Jordan,Jordan,home_team,0,2,-2,2,loser,Friendly,Amman,Jordan,-2,2,4,0.114678339,Jordan,Jordan,Iraq,Iraq
366,06/02/1981,1981,1,2,Iraq,Iraq,away_team,0,2,-2,2,winner,Friendly,Amman,Jordan,2,2,4,0.032242357,Jordan,Jordan,Iraq,Iraq
367,08/02/1981,1981,1,2,Jordan,Jordan,home_team,0,2,-2,2,loser,Friendly,Amman,Jordan,-2,2,4,0.112857965,Jordan,Jordan,Iraq,Iraq
367,08/02/1981,1981,1,2,Iraq,Iraq,away_team,0,2,-2,2,winner,Friendly,Amman,Jordan,2,2,4,0.492916696,Jordan,Jordan,Iraq,Iraq
368,14/02/1981,1981,1,2,Oman,Oman,home_team,0,1,-1,1,loser,Friendly,Muscat,Oman,-1,1,4,0.592122799,Oman,Oman,Jordan,Jordan
368,14/02/1981,1981,1,2,Jordan,Jordan,away_team,0,1,-1,1,winner,Friendly,Muscat,Oman,1,1,4,0.202740476,Oman,Oman,Jordan,Jordan
369,15/02/1981,1981,1,2,Morocco,Morocco,home_team,3,0,3,-3,winner,Friendly,Fès,Morocco,3,3,4,0.366897483,Morocco,Morocco,Syria,Syria
369,15/02/1981,1981,1,2,Syria,Syria,away_team,3,0,3,-3,loser,Friendly,Fès,Morocco,-3,3,4,0.254273074,Morocco,Morocco,Syria,Syria
370,16/02/1981,1981,1,2,Oman,Oman,home_team,0,2,-2,2,loser,Friendly,Muscat,Oman,-2,2,4,0.420645158,Oman,Oman,Jordan,Jordan
370,16/02/1981,1981,1,2,Jordan,Jordan,away_team,0,2,-2,2,winner,Friendly,Muscat,Oman,2,2,4,0.723100706,Oman,Oman,Jordan,Jordan
371,27/02/1981,1981,1,2,Bahrain,Bahrain,home_team,1,0,1,-1,winner,Friendly,Manama,Bahrain,1,1,4,0.565738818,Bahrain,Bahrain,Jordan,Jordan
371,27/02/1981,1981,1,2,Jordan,Jordan,away_team,1,0,1,-1,loser,Friendly,Manama,Bahrain,-1,1,4,0.200581284,Bahrain,Bahrain,Jordan,Jordan
