date,day,home_team,home_team_,away_team,away_team_,home_score,away_score,tournament,city,country,year,year_n,month,home_result,away_result,result,total_goals,home_result_desc,away_result_desc,serial,decade,home_group,away_group,home_random,away_random
03/09/2010,3,Kuwait,Kuwait,Syria,Syria,3,0,Friendly,Kuwait City,Kuwait,2010,0,9,3,-3,3,3,winner,loser,1480,7,0,0,0.11337752,0.942739255
03/09/2010,3,Qatar,Qatar,Bahrain,Bahrain,1,1,Friendly,Doha,Qatar,2010,0,9,0,0,0,2,draw,draw,1481,7,1,0,0.00569593,0.211026403
07/09/2010,7,Qatar,Qatar,Oman,Oman,1,1,Friendly,Doha,Qatar,2010,0,9,0,0,0,2,draw,draw,1482,7,1,1,0.95699426,0.502547836
20/01/2002,20,UAE,UAE,Qatar,Qatar,0,2,Gulf Cup,Riyadh,Saudi Arabia,2002,2,1,-2,2,2,2,loser,winner,1050,6,0,1,0.20996858,0.48103488
07/09/2010,7,Yemen,Yemen,Syria,Syria,2,1,Friendly,Sana'a,Yemen,2010,0,9,1,-1,1,3,winner,loser,1484,7,1,0,0.59139288,0.497225588
16/09/2010,16,Jordan,Jordan,Iraq,Iraq,4,1,Friendly,Amman,Jordan,2010,0,9,3,-3,3,5,winner,loser,1485,7,1,0,0.76210066,0.856897969
19/09/2010,19,Jordan,Jordan,Bahrain,Bahrain,2,0,Friendly,Zarqa,Jordan,2010,0,9,2,-2,2,2,winner,loser,1486,7,1,0,0.93061754,0.39413058
21/09/2010,21,Iraq,Iraq,Oman,Oman,3,2,Friendly,Amman,Jordan,2010,0,9,1,-1,1,5,winner,loser,1487,7,0,1,0.30312286,0.623566792
24/09/2010,24,Jordan,Jordan,Syria,Syria,1,1,WAFF Championship,Amman,Jordan,2010,0,9,0,0,0,2,draw,draw,1488,7,1,0,0.98409881,0.358046017
25/09/2010,25,Iraq,Iraq,Yemen,Yemen,2,1,WAFF Championship,Amman,Jordan,2010,0,9,1,-1,1,3,winner,loser,1489,7,0,1,0.78249797,0.993295683
26/09/2010,26,Bahrain,Bahrain,Oman,Oman,2,0,WAFF Championship,Amman,Jordan,2010,0,9,2,-2,2,2,winner,loser,1490,7,0,1,0.39100819,0.78739601
26/09/2010,26,Syria,Syria,Kuwait,Kuwait,1,2,WAFF Championship,Amman,Jordan,2010,0,9,-1,1,1,3,loser,winner,1491,7,0,0,0.85227088,0.386174384
27/09/2010,27,Yemen,Yemen,Palestine,Palestine,3,1,WAFF Championship,Amman,Jordan,2010,0,9,2,-2,2,4,winner,loser,1492,7,1,0,0.57586904,0.421564309
28/09/2010,28,Jordan,Jordan,Kuwait,Kuwait,2,2,WAFF Championship,Amman,Jordan,2010,0,9,0,0,0,4,draw,draw,1493,7,1,0,0.68407913,0.189138822
29/09/2010,29,Palestine,Palestine,Iraq,Iraq,0,3,WAFF Championship,Amman,Jordan,2010,0,9,-3,3,3,3,loser,winner,1494,7,0,0,0.96425033,0.902053345
01/10/2010,1,Kuwait,Kuwait,Yemen,Yemen,1,1,WAFF Championship,Amman,Jordan,2010,0,10,0,0,0,2,draw,draw,1495,7,0,1,0.56363035,0.170731974
